dt,time,r_ana,r_num,r_err
,0.0125,0,1.414,1.414,0
,0.0125,0.0125,1.414,1.414,0.0001331
,0.0125,0.02501,1.415,1.415,0.0002661
,0.0125,0.03751,1.416,1.416,0.000399
,0.0125,0.05001,1.417,1.417,0.0005316
,0.0125,0.06252,1.419,1.418,0.0006638
,0.0125,0.07502,1.421,1.42,0.0007956
,0.0125,0.08752,1.423,1.422,0.0009269
,0.0125,0.1,1.426,1.425,0.001057
,0.0125,0.1125,1.429,1.428,0.001187
,0.0125,0.125,1.433,1.432,0.001316
,0.0125,0.1375,1.437,1.435,0.001444
,0.0125,0.15,1.441,1.439,0.001571
,0.0125,0.1625,1.445,1.444,0.001698
,0.0125,0.175,1.45,1.448,0.001822
,0.0125,0.1875,1.455,1.454,0.001946
,0.0125,0.2001,1.461,1.459,0.002069
,0.0125,0.2126,1.466,1.465,0.00219
,0.0125,0.2251,1.473,1.471,0.00231
,0.0125,0.2376,1.479,1.477,0.002428
,0.0125,0.2501,1.485,1.484,0.002545
,0.0125,0.2626,1.492,1.49,0.00266
,0.0125,0.2751,1.499,1.497,0.002775
,0.0125,0.2876,1.507,1.505,0.002887
,0.0125,0.3001,1.514,1.512,0.002998
,0.0125,0.3126,1.522,1.52,0.003108
,0.0125,0.3251,1.53,1.528,0.003216
,0.0125,0.3376,1.539,1.537,0.003322
,0.0125,0.3501,1.547,1.545,0.003427
,0.0125,0.3626,1.556,1.554,0.003531
,0.0125,0.3751,1.564,1.563,0.003633
,0.0125,0.3876,1.573,1.572,0.003733
,0.0125,0.4001,1.583,1.581,0.003833
,0.0125,0.4126,1.592,1.59,0.00393
,0.0125,0.4251,1.601,1.6,0.004027
,0.0125,0.4376,1.611,1.609,0.004122
,0.0125,0.4501,1.62,1.619,0.004215
,0.0125,0.4626,1.63,1.629,0.004307
,0.0125,0.4751,1.64,1.639,0.004398
,0.0125,0.4876,1.65,1.649,0.004488
,0.0125,0.5001,1.66,1.659,0.004577
,0.0125,0.5126,1.67,1.669,0.004664
,0.0125,0.5251,1.68,1.679,0.004751
,0.0125,0.5376,1.69,1.69,0.004836
,0.0125,0.5501,1.7,1.7,0.00492
,0.0125,0.5626,1.71,1.71,0.005003
,0.0125,0.5751,1.72,1.72,0.005086
,0.0125,0.5876,1.73,1.731,0.005167
,0.0125,0.6002,1.74,1.741,0.005247
,0.0125,0.6127,1.75,1.751,0.005327
,0.0125,0.6252,1.76,1.762,0.005406
,0.0125,0.6377,1.77,1.772,0.005484
,0.0125,0.6502,1.78,1.782,0.005562
,0.0125,0.6627,1.79,1.792,0.005639
,0.0125,0.6752,1.8,1.802,0.005715
,0.0125,0.6877,1.81,1.813,0.005791
,0.0125,0.7002,1.819,1.823,0.005866
,0.0125,0.7127,1.829,1.832,0.00594
,0.0125,0.7252,1.839,1.842,0.006015
,0.0125,0.7377,1.848,1.852,0.006089
,0.0125,0.7502,1.857,1.862,0.006162
,0.0125,0.7627,1.867,1.871,0.006235
,0.0125,0.7752,1.876,1.881,0.006308
,0.0125,0.7877,1.885,1.89,0.006381
,0.0125,0.8002,1.893,1.899,0.006453
,0.0125,0.8127,1.902,1.908,0.006526
,0.0125,0.8252,1.911,1.917,0.006598
,0.0125,0.8377,1.919,1.926,0.00667
,0.0125,0.8502,1.927,1.934,0.006742
,0.0125,0.8627,1.935,1.943,0.006815
,0.0125,0.8752,1.943,1.951,0.006887
,0.0125,0.8877,1.951,1.959,0.006959
,0.0125,0.9002,1.959,1.967,0.007031
,0.0125,0.9127,1.966,1.975,0.007104
,0.0125,0.9252,1.973,1.982,0.007177
,0.0125,0.9377,1.98,1.989,0.007249
,0.0125,0.9502,1.987,1.997,0.007323
,0.0125,0.9627,1.994,2.003,0.007396
,0.0125,0.9752,2,2.01,0.00747
,0.0125,0.9877,2.006,2.017,0.007544
,0.0125,1,2.012,2.023,0.007618
,0.0125,1.013,2.018,2.029,0.007693
,0.0125,1.025,2.024,2.035,0.007769
,0.0125,1.038,2.029,2.041,0.007844
,0.0125,1.05,2.034,2.046,0.007921
,0.0125,1.063,2.039,2.051,0.007998
,0.0125,1.075,2.044,2.056,0.008075
,0.0125,1.088,2.048,2.061,0.008153
,0.0125,1.1,2.052,2.066,0.008232
,0.0125,1.113,2.056,2.07,0.008311
,0.0125,1.125,2.06,2.074,0.008391
,0.0125,1.138,2.063,2.078,0.008472
,0.0125,1.15,2.067,2.081,0.008554
,0.0125,1.163,2.07,2.084,0.008636
,0.0125,1.175,2.072,2.088,0.00872
,0.0125,1.188,2.075,2.09,0.008804
,0.0125,1.2,2.077,2.093,0.008889
,0.0125,1.213,2.079,2.095,0.008975
,0.0125,1.225,2.081,2.097,0.009062
,0.0125,1.238,2.082,2.099,0.00915
,0.0125,1.25,2.083,2.1,0.009239
,0.0125,1.263,2.084,2.101,0.009329
,0.0125,1.275,2.085,2.102,0.00942
,0.0125,1.288,2.086,2.103,0.009513
,0.0125,1.3,2.086,2.103,0.009606
,0.0125,1.313,2.086,2.104,0.009701
,0.0125,1.325,2.086,2.104,0.009797
,0.0125,1.338,2.085,2.103,0.009894
,0.0125,1.35,2.084,2.102,0.009993
,0.0125,1.363,2.083,2.102,0.01009
,0.0125,1.375,2.082,2.1,0.01019
,0.0125,1.388,2.08,2.099,0.0103
,0.0125,1.4,2.078,2.097,0.0104
,0.0125,1.413,2.076,2.095,0.01051
,0.0125,1.425,2.074,2.093,0.01061
,0.0125,1.438,2.072,2.091,0.01072
,0.0125,1.45,2.069,2.088,0.01083
,0.0125,1.463,2.066,2.085,0.01095
,0.0125,1.475,2.062,2.082,0.01106
,0.0125,1.488,2.059,2.078,0.01117
,0.0125,1.5,2.055,2.074,0.01129
,0.0125,1.513,2.051,2.07,0.01141
,0.0125,1.525,2.047,2.066,0.01153
,0.0125,1.538,2.042,2.061,0.01165
,0.0125,1.55,2.037,2.057,0.01178
,0.0125,1.563,2.032,2.052,0.01191
,0.0125,1.575,2.027,2.046,0.01203
,0.0125,1.588,2.022,2.041,0.01217
,0.0125,1.6,2.016,2.035,0.0123
,0.0125,1.613,2.01,2.029,0.01243
,0.0125,1.625,2.004,2.023,0.01257
,0.0125,1.638,1.998,2.016,0.01271
,0.0125,1.65,1.992,2.01,0.01285
,0.0125,1.663,1.985,2.003,0.013
,0.0125,1.675,1.978,1.996,0.01314
,0.0125,1.688,1.971,1.989,0.01329
,0.0125,1.7,1.964,1.981,0.01344
,0.0125,1.713,1.956,1.973,0.01359
,0.0125,1.725,1.949,1.965,0.01375
,0.0125,1.738,1.941,1.957,0.01391
,0.0125,1.75,1.933,1.949,0.01407
,0.0125,1.763,1.925,1.941,0.01423
,0.0125,1.775,1.916,1.932,0.0144
,0.0125,1.788,1.908,1.923,0.01457
,0.0125,1.8,1.899,1.914,0.01474
,0.0125,1.813,1.891,1.905,0.01492
,0.0125,1.825,1.882,1.896,0.01509
,0.0125,1.838,1.873,1.886,0.01527
,0.0125,1.85,1.864,1.877,0.01546
,0.0125,1.863,1.854,1.867,0.01564
,0.0125,1.875,1.845,1.857,0.01583
,0.0125,1.888,1.836,1.847,0.01602
,0.0125,1.9,1.826,1.837,0.01622
,0.0125,1.913,1.816,1.827,0.01641
,0.0125,1.925,1.807,1.816,0.01661
,0.0125,1.938,1.797,1.806,0.01682
,0.0125,1.95,1.787,1.795,0.01702
,0.0125,1.963,1.777,1.785,0.01723
,0.0125,1.975,1.767,1.774,0.01744
,0.0125,1.988,1.757,1.764,0.01766
,0.0125,2.001,1.747,1.753,0.01788
,0.0125,2.013,1.737,1.742,0.0181
,0.0125,2.026,1.726,1.731,0.01832
,0.0125,2.038,1.716,1.72,0.01855
,0.0125,2.051,1.706,1.709,0.01877
,0.0125,2.063,1.696,1.699,0.01901
,0.0125,2.076,1.686,1.688,0.01924
,0.0125,2.088,1.676,1.677,0.01948
,0.0125,2.101,1.666,1.666,0.01972
,0.0125,2.113,1.656,1.655,0.01996
,0.0125,2.126,1.646,1.644,0.0202
,0.0125,2.138,1.636,1.634,0.02045
,0.0125,2.151,1.626,1.623,0.0207
,0.0125,2.163,1.616,1.613,0.02095
,0.0125,2.176,1.607,1.602,0.0212
,0.0125,2.188,1.597,1.592,0.02145
,0.0125,2.201,1.588,1.581,0.02171
,0.0125,2.213,1.579,1.571,0.02196
,0.0125,2.226,1.57,1.561,0.02222
,0.0125,2.238,1.561,1.551,0.02248
,0.0125,2.251,1.552,1.542,0.02274
,0.0125,2.263,1.543,1.532,0.023
,0.0125,2.276,1.535,1.523,0.02326
,0.0125,2.288,1.527,1.514,0.02352
,0.0125,2.301,1.519,1.505,0.02378
,0.0125,2.313,1.511,1.496,0.02404
,0.0125,2.326,1.503,1.488,0.02429
,0.0125,2.338,1.496,1.48,0.02455
,0.0125,2.351,1.489,1.472,0.0248
,0.0125,2.363,1.482,1.464,0.02506
,0.0125,2.376,1.475,1.457,0.02531
,0.0125,2.388,1.469,1.449,0.02556
,0.0125,2.401,1.463,1.443,0.0258
,0.0125,2.413,1.457,1.436,0.02604
,0.0125,2.426,1.452,1.43,0.02628
,0.0125,2.438,1.447,1.424,0.02652
,0.0125,2.451,1.442,1.419,0.02675
,0.0125,2.463,1.437,1.414,0.02698
,0.0125,2.476,1.433,1.409,0.0272
,0.0125,2.488,1.429,1.404,0.02741
,0.0125,2.501,1.426,1.4,0.02762
,0.0125,2.513,1.423,1.397,0.02783
,0.0125,2.526,1.42,1.394,0.02803
,0.0125,2.538,1.418,1.391,0.02822
,0.0125,2.551,1.416,1.388,0.02841
,0.0125,2.563,1.414,1.386,0.02858
,0.0125,2.576,1.413,1.385,0.02876
,0.0125,2.588,1.412,1.383,0.02892
,0.0125,2.601,1.411,1.383,0.02908
,0.0125,2.613,1.411,1.382,0.02923
,0.0125,2.626,1.411,1.382,0.02937
,0.0125,2.638,1.412,1.383,0.0295
,0.0125,2.651,1.413,1.384,0.02963
,0.0125,2.663,1.414,1.385,0.02975
,0.0125,2.676,1.416,1.387,0.02986
,0.0125,2.688,1.418,1.389,0.02996
,0.0125,2.701,1.421,1.392,0.03005
,0.0125,2.713,1.424,1.395,0.03014
,0.0125,2.726,1.427,1.398,0.03022
,0.0125,2.738,1.43,1.402,0.03029
,0.0125,2.751,1.434,1.406,0.03035
,0.0125,2.763,1.438,1.411,0.0304
,0.0125,2.776,1.443,1.416,0.03045
,0.0125,2.788,1.448,1.421,0.03049
,0.0125,2.801,1.453,1.427,0.03053
,0.0125,2.813,1.459,1.433,0.03056
,0.0125,2.826,1.464,1.439,0.03058
,0.0125,2.838,1.471,1.446,0.03059
,0.0125,2.851,1.477,1.453,0.0306
,0.0125,2.863,1.484,1.46,0.0306
,0.0125,2.876,1.491,1.468,0.0306
,0.0125,2.888,1.498,1.476,0.03059
,0.0125,2.901,1.505,1.484,0.03058
,0.0125,2.913,1.513,1.493,0.03057
,0.0125,2.926,1.521,1.501,0.03055
,0.0125,2.938,1.529,1.51,0.03052
,0.0125,2.951,1.537,1.52,0.03049
,0.0125,2.963,1.545,1.529,0.03046
,0.0125,2.976,1.554,1.539,0.03043
,0.0125,2.988,1.563,1.549,0.03039
,0.0125,3.001,1.572,1.559,0.03035
,0.0125,3.013,1.581,1.569,0.0303
,0.0125,3.026,1.59,1.579,0.03026
,0.0125,3.038,1.6,1.59,0.03021
,0.0125,3.051,1.609,1.6,0.03017
,0.0125,3.063,1.619,1.611,0.03012
,0.0125,3.076,1.629,1.622,0.03007
,0.0125,3.088,1.638,1.633,0.03001
,0.0125,3.101,1.648,1.644,0.02996
,0.0125,3.113,1.658,1.655,0.02991
,0.0125,3.126,1.668,1.666,0.02986
,0.0125,3.138,1.678,1.677,0.0298
,0.0125,3.151,1.688,1.689,0.02975
,0.0125,3.163,1.698,1.7,0.0297
,0.0125,3.176,1.708,1.711,0.02965
,0.0125,3.188,1.719,1.723,0.0296
,0.0125,3.201,1.729,1.734,0.02954
,0.0125,3.213,1.739,1.745,0.02949
,0.0125,3.226,1.749,1.756,0.02945
,0.0125,3.238,1.759,1.768,0.0294
,0.0125,3.251,1.769,1.779,0.02935
,0.0125,3.263,1.779,1.79,0.02931
,0.0125,3.276,1.789,1.801,0.02926
,0.0125,3.288,1.799,1.812,0.02922
,0.0125,3.301,1.808,1.823,0.02918
,0.0125,3.313,1.818,1.834,0.02914
,0.0125,3.326,1.828,1.845,0.0291
,0.0125,3.338,1.837,1.856,0.02907
,0.0125,3.351,1.846,1.866,0.02904
,0.0125,3.363,1.856,1.877,0.02901
,0.0125,3.376,1.865,1.887,0.02898
,0.0125,3.388,1.874,1.897,0.02895
,0.0125,3.401,1.883,1.907,0.02893
,0.0125,3.413,1.892,1.917,0.0289
,0.0125,3.426,1.9,1.927,0.02888
,0.0125,3.438,1.909,1.937,0.02887
,0.0125,3.451,1.917,1.946,0.02885
,0.0125,3.463,1.925,1.955,0.02884
,0.0125,3.476,1.933,1.965,0.02883
,0.0125,3.488,1.941,1.974,0.02882
,0.0125,3.501,1.949,1.982,0.02882
,0.0125,3.513,1.957,1.991,0.02882
,0.0125,3.526,1.964,1.999,0.02882
,0.0125,3.538,1.971,2.007,0.02882
,0.0125,3.551,1.978,2.015,0.02883
,0.0125,3.563,1.985,2.023,0.02884
,0.0125,3.576,1.991,2.031,0.02885
,0.0125,3.588,1.998,2.038,0.02887
,0.0125,3.601,2.004,2.045,0.02889
,0.0125,3.613,2.01,2.052,0.02891
,0.0125,3.626,2.015,2.058,0.02893
,0.0125,3.638,2.021,2.065,0.02896
,0.0125,3.651,2.026,2.071,0.02899
,0.0125,3.663,2.031,2.077,0.02902
,0.0125,3.676,2.036,2.082,0.02906
,0.0125,3.688,2.041,2.088,0.0291
,0.0125,3.701,2.045,2.093,0.02914
,0.0125,3.713,2.049,2.097,0.02919
,0.0125,3.726,2.053,2.102,0.02924
,0.0125,3.738,2.057,2.106,0.02929
,0.0125,3.751,2.06,2.11,0.02935
,0.0125,3.763,2.063,2.114,0.02941
,0.0125,3.776,2.066,2.118,0.02947
,0.0125,3.788,2.069,2.121,0.02954
,0.0125,3.801,2.071,2.124,0.02961
,0.0125,3.813,2.074,2.126,0.02968
,0.0125,3.826,2.076,2.129,0.02975
,0.0125,3.838,2.077,2.131,0.02983
,0.0125,3.851,2.079,2.133,0.02992
,0.0125,3.863,2.08,2.134,0.03001
,0.0125,3.876,2.081,2.136,0.0301
,0.0125,3.888,2.081,2.137,0.03019
,0.0125,3.901,2.082,2.137,0.03029
,0.0125,3.913,2.082,2.138,0.03039
,0.0125,3.926,2.082,2.138,0.0305
,0.0125,3.938,2.081,2.138,0.03061
,0.0125,3.951,2.081,2.137,0.03072
,0.0125,3.963,2.08,2.136,0.03084
,0.0125,3.976,2.079,2.135,0.03096
