dt,time,r_ana,r_num,r_err
,0.0125,0,1.414,1.414,0
,0.0125,0.0125,1.414,1.414,2.21e-06
,0.0125,0.02501,1.415,1.415,4.418e-06
,0.0125,0.03751,1.416,1.416,6.623e-06
,0.0125,0.05001,1.417,1.417,8.823e-06
,0.0125,0.06252,1.419,1.419,1.102e-05
,0.0125,0.07502,1.421,1.421,1.32e-05
,0.0125,0.08752,1.423,1.423,1.537e-05
,0.0125,0.1,1.426,1.426,1.753e-05
,0.0125,0.1125,1.429,1.429,1.968e-05
,0.0125,0.125,1.433,1.433,2.182e-05
,0.0125,0.1375,1.437,1.437,2.393e-05
,0.0125,0.15,1.441,1.441,2.604e-05
,0.0125,0.1625,1.445,1.445,2.812e-05
,0.0125,0.175,1.45,1.45,3.018e-05
,0.0125,0.1875,1.455,1.455,3.222e-05
,0.0125,0.2001,1.461,1.461,3.424e-05
,0.0125,0.2126,1.466,1.466,3.624e-05
,0.0125,0.2251,1.473,1.473,3.821e-05
,0.0125,0.2376,1.479,1.479,4.016e-05
,0.0125,0.2501,1.485,1.485,4.209e-05
,0.0125,0.2626,1.492,1.492,4.399e-05
,0.0125,0.2751,1.499,1.499,4.586e-05
,0.0125,0.2876,1.507,1.507,4.772e-05
,0.0125,0.3001,1.514,1.514,4.954e-05
,0.0125,0.3126,1.522,1.522,5.134e-05
,0.0125,0.3251,1.53,1.53,5.311e-05
,0.0125,0.3376,1.539,1.539,5.486e-05
,0.0125,0.3501,1.547,1.547,5.658e-05
,0.0125,0.3626,1.556,1.556,5.828e-05
,0.0125,0.3751,1.564,1.564,5.995e-05
,0.0125,0.3876,1.573,1.573,6.159e-05
,0.0125,0.4001,1.583,1.582,6.322e-05
,0.0125,0.4126,1.592,1.592,6.481e-05
,0.0125,0.4251,1.601,1.601,6.639e-05
,0.0125,0.4376,1.611,1.611,6.794e-05
,0.0125,0.4501,1.62,1.62,6.947e-05
,0.0125,0.4626,1.63,1.63,7.097e-05
,0.0125,0.4751,1.64,1.64,7.246e-05
,0.0125,0.4876,1.65,1.65,7.392e-05
,0.0125,0.5001,1.66,1.659,7.536e-05
,0.0125,0.5126,1.67,1.669,7.678e-05
,0.0125,0.5251,1.68,1.679,7.819e-05
,0.0125,0.5376,1.69,1.689,7.957e-05
,0.0125,0.5501,1.7,1.7,8.094e-05
,0.0125,0.5626,1.71,1.71,8.229e-05
,0.0125,0.5751,1.72,1.72,8.363e-05
,0.0125,0.5876,1.73,1.73,8.495e-05
,0.0125,0.6002,1.74,1.74,8.625e-05
,0.0125,0.6127,1.75,1.75,8.754e-05
,0.0125,0.6252,1.76,1.76,8.882e-05
,0.0125,0.6377,1.77,1.77,9.009e-05
,0.0125,0.6502,1.78,1.78,9.134e-05
,0.0125,0.6627,1.79,1.79,9.258e-05
,0.0125,0.6752,1.8,1.8,9.381e-05
,0.0125,0.6877,1.81,1.81,9.504e-05
,0.0125,0.7002,1.819,1.819,9.625e-05
,0.0125,0.7127,1.829,1.829,9.745e-05
,0.0125,0.7252,1.839,1.838,9.865e-05
,0.0125,0.7377,1.848,1.848,9.984e-05
,0.0125,0.7502,1.857,1.857,0.000101
,0.0125,0.7627,1.867,1.866,0.0001022
