Time,x_num,y_num,z_num,x_ana,y_ana,z_ana
0,20,0,20,20,0,20
0.001,20,0.025,20,20,0.025,20
0.002,20,0.05,20,20,0.05,20
0.003,20,0.075,20,20,0.075,20
0.004,20,0.1,20,20,0.1,20
0.005,20,0.125,20,20,0.125,20
0.006,20,0.15,20,20,0.15,20
0.007,20,0.175,20,20,0.175,20
0.008,20,0.2,20,20,0.2,20
0.009,20,0.225,20,20,0.225,20
0.01,20,0.25,20,20,0.25,20
0.011,20,0.275,20,20,0.275,20
0.012,20,0.3,20,20,0.3,20
0.013,20.01,0.3249,20,20.01,0.325,20
0.014,20.01,0.3499,20,20.01,0.3499,20
0.015,20.01,0.3749,20,20.01,0.3749,20
0.016,20.01,0.3999,20,20.01,0.3999,20
0.017,20.01,0.4249,20,20.01,0.4249,20
0.018,20.01,0.4499,20,20.01,0.4499,20
0.019,20.01,0.4748,20,20.01,0.4748,20
0.02,20.01,0.4998,20,20.01,0.4998,20
0.021,20.01,0.5248,20,20.01,0.5248,20
0.022,20.01,0.5497,20,20.01,0.5498,20
0.023,20.02,0.5747,20,20.02,0.5747,20
0.024,20.02,0.5997,20,20.02,0.5997,20
0.025,20.02,0.6246,20,20.02,0.6246,20
0.026,20.02,0.6496,20,20.02,0.6496,20
0.027,20.02,0.6745,20,20.02,0.6745,20
0.028,20.02,0.6995,20,20.02,0.6995,20
0.029,20.03,0.7244,20,20.03,0.7244,20
0.03,20.03,0.7493,20,20.03,0.7494,20
0.031,20.03,0.7743,20,20.03,0.7743,20
0.032,20.03,0.7992,20,20.03,0.7992,20
0.033,20.03,0.8241,20,20.03,0.8241,20
0.034,20.03,0.8491,20,20.03,0.8491,20
0.035,20.04,0.874,20,20.04,0.874,20
0.036,20.04,0.8989,20,20.04,0.8989,20
0.037,20.04,0.9238,20,20.04,0.9238,20
0.038,20.04,0.9487,20,20.04,0.9487,20
0.039,20.05,0.9736,20,20.05,0.9736,20
0.04,20.05,0.9985,20,20.05,0.9985,20
0.041,20.05,1.023,20,20.05,1.023,20
0.042,20.05,1.048,20,20.05,1.048,20
0.043,20.06,1.073,20,20.06,1.073,20
0.044,20.06,1.098,20,20.06,1.098,20
0.045,20.06,1.123,20,20.06,1.123,20
0.046,20.06,1.148,20,20.06,1.148,20
0.047,20.07,1.172,20,20.07,1.173,20
0.048,20.07,1.197,20,20.07,1.197,20
0.049,20.07,1.222,20,20.07,1.222,20
0.05,20.08,1.247,20,20.08,1.247,20
0.051,20.08,1.272,20,20.08,1.272,20
0.052,20.08,1.297,20,20.08,1.297,20
0.053,20.08,1.321,20,20.08,1.321,20
0.054,20.09,1.346,20,20.09,1.346,20
0.055,20.09,1.371,20,20.09,1.371,20
0.056,20.09,1.396,20,20.09,1.396,20
0.057,20.1,1.421,20,20.1,1.421,20
0.058,20.1,1.445,20,20.1,1.445,20
0.059,20.1,1.47,20,20.1,1.47,20
0.06,20.11,1.495,20,20.11,1.495,20
0.061,20.11,1.52,20,20.11,1.52,20
0.062,20.12,1.544,20,20.12,1.544,20
0.063,20.12,1.569,20,20.12,1.569,20
0.064,20.12,1.594,20,20.12,1.594,20
0.065,20.13,1.618,20,20.13,1.618,20
0.066,20.13,1.643,20,20.13,1.643,20
0.067,20.13,1.668,20,20.13,1.668,20
0.068,20.14,1.692,20,20.14,1.692,20
0.069,20.14,1.717,20,20.14,1.717,20
0.07,20.15,1.742,20,20.15,1.742,20
0.071,20.15,1.766,20,20.15,1.766,20
0.072,20.16,1.791,20,20.16,1.791,20
0.073,20.16,1.816,20,20.16,1.816,20
0.074,20.16,1.84,20,20.16,1.84,20
0.075,20.17,1.865,20,20.17,1.865,20
0.076,20.17,1.889,20,20.17,1.889,20
0.077,20.18,1.914,20,20.18,1.914,20
0.078,20.18,1.939,20,20.18,1.939,20
0.079,20.19,1.963,20,20.19,1.963,20
0.08,20.19,1.988,20,20.19,1.988,20
0.081,20.2,2.012,20,20.2,2.012,20
0.082,20.2,2.037,20,20.2,2.037,20
0.083,20.21,2.061,20,20.21,2.061,20
0.084,20.21,2.086,20,20.21,2.086,20
0.085,20.22,2.11,20,20.22,2.11,20
0.086,20.22,2.135,20,20.22,2.135,20
0.087,20.23,2.159,20,20.23,2.159,20
0.088,20.23,2.184,20,20.23,2.184,20
0.089,20.24,2.208,20,20.24,2.208,20
0.09,20.24,2.232,20,20.24,2.232,20
0.091,20.25,2.257,20,20.25,2.257,20
0.092,20.25,2.281,20,20.25,2.281,20
0.093,20.26,2.306,20,20.26,2.306,20
0.094,20.26,2.33,20,20.26,2.33,20
0.095,20.27,2.354,20,20.27,2.354,20
0.096,20.28,2.379,20,20.28,2.379,20
0.097,20.28,2.403,20,20.28,2.403,20
0.098,20.29,2.427,20,20.29,2.427,20
0.099,20.29,2.452,20,20.29,2.452,20
0.1,20.3,2.476,20,20.3,2.476,20
0.101,20.31,2.5,20,20.31,2.5,20
0.102,20.31,2.524,20,20.31,2.524,20
0.103,20.32,2.549,20,20.32,2.549,20
0.104,20.32,2.573,20,20.32,2.573,20
0.105,20.33,2.597,20,20.33,2.597,20
0.106,20.34,2.621,20,20.34,2.621,20
0.107,20.34,2.646,20,20.34,2.646,20
0.108,20.35,2.67,20,20.35,2.67,20
0.109,20.36,2.694,20,20.36,2.694,20
0.11,20.36,2.718,20,20.36,2.718,20
0.111,20.37,2.742,20,20.37,2.742,20
0.112,20.38,2.766,20,20.38,2.766,20
0.113,20.38,2.79,20,20.38,2.79,20
0.114,20.39,2.814,20,20.39,2.814,20
0.115,20.4,2.838,20,20.4,2.838,20
0.116,20.4,2.862,20,20.4,2.863,20
0.117,20.41,2.886,20,20.41,2.887,20
0.118,20.42,2.91,20,20.42,2.911,20
0.119,20.42,2.934,20,20.42,2.935,20
0.12,20.43,2.958,20,20.43,2.958,20
0.121,20.44,2.982,20,20.44,2.982,20
0.122,20.44,3.006,20,20.44,3.006,20
0.123,20.45,3.03,20,20.45,3.03,20
0.124,20.46,3.054,20,20.46,3.054,20
0.125,20.47,3.078,20,20.47,3.078,20
0.126,20.47,3.102,20,20.47,3.102,20
0.127,20.48,3.126,20,20.48,3.126,20
0.128,20.49,3.15,20,20.49,3.15,20
0.129,20.5,3.173,20,20.5,3.173,20
0.13,20.5,3.197,20,20.5,3.197,20
0.131,20.51,3.221,20,20.51,3.221,20
0.132,20.52,3.245,20,20.52,3.245,20
0.133,20.53,3.268,20,20.53,3.269,20
0.134,20.54,3.292,20,20.54,3.292,20
0.135,20.54,3.316,20,20.54,3.316,20
0.136,20.55,3.34,20,20.55,3.34,20
0.137,20.56,3.363,20,20.56,3.363,20
0.138,20.57,3.387,20,20.57,3.387,20
0.139,20.58,3.411,20,20.58,3.411,20
0.14,20.58,3.434,20,20.58,3.434,20
0.141,20.59,3.458,20,20.59,3.458,20
0.142,20.6,3.481,20,20.6,3.481,20
0.143,20.61,3.505,20,20.61,3.505,20
0.144,20.62,3.528,20,20.62,3.528,20
0.145,20.63,3.552,20,20.63,3.552,20
0.146,20.64,3.575,20,20.64,3.575,20
0.147,20.64,3.599,20,20.64,3.599,20
0.148,20.65,3.622,20,20.65,3.622,20
0.149,20.66,3.646,20,20.66,3.646,20
0.15,20.67,3.669,20,20.67,3.669,20
0.151,20.68,3.692,20,20.68,3.692,20
0.152,20.69,3.716,20,20.69,3.716,20
0.153,20.7,3.739,20,20.7,3.739,20
0.154,20.71,3.762,20,20.71,3.762,20
0.155,20.71,3.786,20,20.71,3.786,20
0.156,20.72,3.809,20,20.72,3.809,20
0.157,20.73,3.832,20,20.73,3.832,20
0.158,20.74,3.855,20,20.74,3.855,20
0.159,20.75,3.879,20,20.75,3.879,20
0.16,20.76,3.902,20,20.76,3.902,20
0.161,20.77,3.925,20,20.77,3.925,20
0.162,20.78,3.948,20,20.78,3.948,20
0.163,20.79,3.971,20,20.79,3.971,20
0.164,20.8,3.994,20,20.8,3.994,20
0.165,20.81,4.017,20,20.81,4.017,20
0.166,20.82,4.04,20,20.82,4.04,20
0.167,20.83,4.063,20,20.83,4.063,20
0.168,20.84,4.086,20,20.84,4.086,20
0.169,20.85,4.109,20,20.85,4.109,20
0.17,20.86,4.132,20,20.86,4.132,20
0.171,20.87,4.155,20,20.87,4.155,20
0.172,20.88,4.178,20,20.88,4.178,20
0.173,20.89,4.201,20,20.89,4.201,20
0.174,20.9,4.224,20,20.9,4.224,20
0.175,20.91,4.247,20,20.91,4.247,20
0.176,20.92,4.27,20,20.92,4.27,20
0.177,20.93,4.292,20,20.93,4.292,20
0.178,20.94,4.315,20,20.94,4.315,20
0.179,20.95,4.338,20,20.95,4.338,20
0.18,20.96,4.36,20,20.96,4.361,20
0.181,20.97,4.383,20,20.97,4.383,20
0.182,20.98,4.406,20,20.98,4.406,20
0.183,20.99,4.428,20,20.99,4.429,20
0.184,21,4.451,20,21,4.451,20
0.185,21.01,4.474,20,21.01,4.474,20
0.186,21.02,4.496,20,21.02,4.496,20
0.187,21.03,4.519,20,21.03,4.519,20
0.188,21.05,4.541,20,21.05,4.541,20
0.189,21.06,4.564,20,21.06,4.564,20
0.19,21.07,4.586,20,21.07,4.586,20
0.191,21.08,4.608,20,21.08,4.609,20
0.192,21.09,4.631,20,21.09,4.631,20
0.193,21.1,4.653,20,21.1,4.653,20
0.194,21.11,4.676,20,21.11,4.676,20
0.195,21.12,4.698,20,21.12,4.698,20
0.196,21.13,4.72,20,21.14,4.72,20
0.197,21.15,4.742,20,21.15,4.743,20
0.198,21.16,4.765,20,21.16,4.765,20
0.199,21.17,4.787,20,21.17,4.787,20
0.2,21.18,4.809,20,21.18,4.809,20
0.201,21.19,4.831,20,21.19,4.831,20
0.202,21.2,4.853,20,21.2,4.853,20
0.203,21.22,4.875,20,21.22,4.875,20
0.204,21.23,4.897,20,21.23,4.898,20
0.205,21.24,4.919,20,21.24,4.92,20
0.206,21.25,4.941,20,21.25,4.942,20
0.207,21.26,4.963,20,21.26,4.964,20
0.208,21.28,4.985,20,21.28,4.985,20
0.209,21.29,5.007,20,21.29,5.007,20
0.21,21.3,5.029,20,21.3,5.029,20
0.211,21.31,5.051,20,21.31,5.051,20
0.212,21.32,5.073,20,21.32,5.073,20
0.213,21.34,5.095,20,21.34,5.095,20
0.214,21.35,5.116,20,21.35,5.117,20
0.215,21.36,5.138,20,21.36,5.138,20
0.216,21.37,5.16,20,21.37,5.16,20
0.217,21.39,5.182,20,21.39,5.182,20
0.218,21.4,5.203,20,21.4,5.203,20
0.219,21.41,5.225,20,21.41,5.225,20
0.22,21.42,5.246,20,21.42,5.247,20
0.221,21.44,5.268,20,21.44,5.268,20
0.222,21.45,5.29,20,21.45,5.29,20
0.223,21.46,5.311,20,21.46,5.311,20
0.224,21.47,5.332,20,21.47,5.333,20
0.225,21.49,5.354,20,21.49,5.354,20
0.226,21.5,5.375,20,21.5,5.375,20
0.227,21.51,5.397,20,21.51,5.397,20
0.228,21.53,5.418,20,21.53,5.418,20
0.229,21.54,5.439,20,21.54,5.439,20
0.23,21.55,5.461,20,21.55,5.461,20
0.231,21.57,5.482,20,21.57,5.482,20
0.232,21.58,5.503,20,21.58,5.503,20
0.233,21.59,5.524,20,21.59,5.524,20
0.234,21.6,5.545,20,21.61,5.546,20
0.235,21.62,5.567,20,21.62,5.567,20
0.236,21.63,5.588,20,21.63,5.588,20
0.237,21.65,5.609,20,21.65,5.609,20
0.238,21.66,5.63,20,21.66,5.63,20
0.239,21.67,5.651,20,21.67,5.651,20
0.24,21.69,5.672,20,21.69,5.672,20
0.241,21.7,5.693,20,21.7,5.693,20
