Time,x_num,y_num,z_num,x_ana,y_ana,z_ana
0,20,0,20,20,0,20
0.05005,20,0,20,-19.78,3.653,20
0.1001,20,0,20,-19.12,7.252,20
0.1502,20,0,20,-18.04,10.75,20
0.2002,20,0,20,-16.54,14.09,20
0.2503,20,0,20,-14.65,17.22,20
0.3003,20,0,20,-12.4,20.1,20
0.3504,20,0,20,-9.819,22.7,20
0.4004,20,0,20,-6.944,24.96,20
0.4505,20,0,20,-3.818,26.86,20
0.5005,20,0,20,-0.4869,28.38,20
0.5506,20,0,20,3.002,29.48,20
0.6006,20,0,20,6.599,30.15,20
0.6507,20,0,20,10.25,30.39,19.99
0.7007,20,0,20,13.9,30.19,19.99
0.7508,20,0,20,17.51,29.55,19.99
0.8008,20,0,20,21.01,28.48,19.99
0.8509,20,0,20,24.35,26.99,19.99
0.9009,20,0,20,27.49,25.12,19.99
0.951,20,0,20,30.39,22.88,19.99
1.001,20,0,20,32.99,20.31,19.99
1.051,20,0,20,35.27,17.45,19.99
1.101,20,0,20,37.19,14.33,19.99
1.151,20,0,20,38.71,11.01,19.98
1.201,20,0,20,39.83,7.524,19.98
1.251,20,0,20,40.52,3.931,19.98
1.301,20,0,20,40.78,0.2808,19.98
1.351,20,0,20,40.59,-3.373,19.98
1.401,20,0,20,39.96,-6.978,19.98
1.451,20,0,20,38.91,-10.48,19.97
1.502,20,0,20,37.44,-13.83,19.97
1.552,20,0,20,35.58,-16.99,19.97
1.602,20,0,20,33.36,-19.89,19.97
1.652,20,0,20,30.8,-22.51,19.97
1.702,20,0,20,27.95,-24.8,19.96
1.752,20,0,20,24.84,-26.73,19.96
1.802,20,0,20,21.52,-28.27,19.96
1.852,20,0,20,18.04,-29.4,19.96
1.902,20,0,20,14.45,-30.11,19.96
1.952,20,0,20,10.8,-30.38,19.95
2.002,20,0,20,7.15,-30.21,19.95
2.052,20,0,20,3.542,-29.6,19.95
2.102,20,0,20,0.03279,-28.56,19.95
2.152,20,0,20,-3.326,-27.11,19.94
2.202,20,0,20,-6.486,-25.27,19.94
2.252,20,0,20,-9.401,-23.06,19.94
2.302,20,0,20,-12.03,-20.51,19.93
2.352,20,0,20,-14.33,-17.67,19.93
2.402,20,0,20,-16.28,-14.57,19.93
2.452,20,0,20,-17.84,-11.26,19.93
2.503,20,0,20,-18.98,-7.782,19.92
2.553,20,0,20,-19.71,-4.196,19.92
2.603,20,0,20,-19.99,-0.5476,19.92
2.653,20,0,20,-19.84,3.108,19.91
2.703,20,0,20,-19.25,6.719,19.91
2.753,20,0,20,-18.23,10.23,19.91
2.803,20,0,20,-16.79,13.6,19.9
2.853,20,0,20,-14.96,16.77,19.9
2.903,20,0,20,-12.76,19.69,19.9
2.953,20,0,20,-10.23,22.33,19.89
3.003,20,0,20,-7.397,24.65,19.89
3.053,20,0,20,-4.306,26.61,19.89
3.103,20,0,20,-1.003,28.18,19.88
3.153,20,0,20,2.466,29.35,19.88
3.203,20,0,20,6.049,30.09,19.87
3.253,20,0,20,9.696,30.39,19.87
3.303,20,0,20,13.35,30.25,19.87
3.353,20,0,20,16.97,29.68,19.86
3.403,20,0,20,20.48,28.67,19.86
3.453,20,0,20,23.86,27.25,19.85
3.504,20,0,20,27.03,25.44,19.85
3.554,20,0,20,29.97,23.25,19.84
3.604,20,0,20,32.62,20.73,19.84
3.654,20,0,20,34.95,17.91,19.84
3.704,20,0,20,36.92,14.83,19.83
3.754,20,0,20,38.51,11.53,19.83
3.804,20,0,20,39.69,8.067,19.82
3.854,20,0,20,40.45,4.487,19.82
3.904,20,0,20,40.77,0.8422,19.81
3.954,20,0,20,40.65,-2.815,19.81
4.004,20,0,20,40.09,-6.431,19.8
4.054,20,0,20,39.1,-9.953,19.8
4.104,20,0,20,37.69,-13.33,19.79
4.154,20,0,20,35.89,-16.52,19.79
4.204,20,0,20,33.72,-19.46,19.78
4.254,20,0,20,31.21,-22.12,19.78
4.304,20,0,20,28.4,-24.47,19.77
4.354,20,0,20,25.33,-26.45,19.77
4.404,20,0,20,22.04,-28.06,19.76
4.454,20,0,20,18.58,-29.25,19.76
4.505,20,0,20,15,-30.02,19.75
4.555,20,0,20,11.36,-30.36,19.74
4.605,20,0,20,7.702,-30.26,19.74
4.655,20,0,20,4.083,-29.72,19.73
4.705,20,0,20,0.5559,-28.74,19.73
4.755,20,0,20,-2.829,-27.35,19.72
4.805,20,0,20,-6.022,-25.56,19.72
4.855,20,0,20,-8.977,-23.41,19.71
4.905,20,0,20,-11.65,-20.91,19.7
4.955,20,0,20,-14.01,-18.11,19.7
5.005,20,0,20,-16.01,-15.04,19.69
5.055,20,0,20,-17.63,-11.76,19.69
5.105,20,0,20,-18.84,-8.31,19.68
5.155,20,0,20,-19.63,-4.737,19.67
5.205,20,0,20,-19.98,-1.095,19.67
5.255,20,0,20,-19.89,2.563,19.66
5.305,20,0,20,-19.37,6.184,19.65
5.355,20,0,20,-18.41,9.716,19.65
5.405,20,0,20,-17.03,13.11,19.64
5.455,20,0,20,-15.26,16.31,19.63
5.506,20,0,20,-13.12,19.27,19.63
5.556,20,0,20,-10.63,21.96,19.62
5.606,20,0,20,-7.843,24.33,19.61
5.656,20,0,20,-4.789,26.34,19.61
5.706,20,0,20,-1.515,27.98,19.6
5.756,20,0,20,1.932,29.2,19.59
5.806,20,0,20,5.501,30.01,19.59
5.856,20,0,20,9.141,30.38,19.58
5.906,20,0,20,12.8,30.31,19.57
5.956,20,0,20,16.42,29.8,19.56
6.006,20,0,20,19.96,28.86,19.56
6.056,20,0,20,23.36,27.5,19.55
6.106,20,0,20,26.57,25.74,19.54
6.156,20,0,20,29.54,23.61,19.53
6.206,20,0,20,32.24,21.14,19.53
6.256,20,0,20,34.62,18.36,19.52
6.306,20,0,20,36.65,15.31,19.51
6.356,20,0,20,38.29,12.05,19.5
6.406,20,0,20,39.54,8.607,19.5
6.456,20,0,20,40.36,5.042,19.49
6.507,20,0,20,40.75,1.403,19.48
6.557,20,0,20,40.69,-2.255,19.47
6.607,20,0,20,40.2,-5.881,19.46
6.657,20,0,20,39.27,-9.421,19.46
6.707,20,0,20,37.93,-12.82,19.45
6.757,20,0,20,36.19,-16.04,19.44
6.807,20,0,20,34.07,-19.03,19.43
6.857,20,0,20,31.61,-21.73,19.42
6.907,20,0,20,28.84,-24.13,19.41
6.957,20,0,20,25.81,-26.17,19.41
7.007,20,0,20,22.55,-27.83,19.4
7.057,20,0,20,19.11,-29.09,19.39
7.107,20,0,20,15.55,-29.93,19.38
7.157,20,0,20,11.91,-30.33,19.37
7.207,20,0,20,8.254,-30.29,19.36
7.257,20,0,20,4.627,-29.82,19.35
7.307,20,0,20,1.082,-28.91,19.35
7.357,20,0,20,-2.327,-27.58,19.34
7.407,20,0,20,-5.552,-25.85,19.33
7.457,20,0,20,-8.546,-23.75,19.32
7.508,20,0,20,-11.27,-21.3,19.31
7.558,20,0,20,-13.67,-18.54,19.3
7.608,20,0,20,-15.73,-15.52,19.29
7.658,20,0,20,-17.41,-12.27,19.28
7.708,20,0,20,-18.68,-8.835,19.27
7.758,20,0,20,-19.53,-5.277,19.26
7.808,20,0,20,-19.95,-1.642,19.25
7.858,20,0,20,-19.93,2.017,19.24
7.908,20,0,20,-19.47,5.647,19.23
7.958,20,0,20,-18.58,9.196,19.22
8.008,20,0,20,-17.27,12.61,19.21
8.058,20,0,20,-15.56,15.84,19.2
8.108,20,0,20,-13.47,18.85,19.2
8.158,20,0,20,-11.03,21.58,19.19
8.208,20,0,20,-8.284,24,19.18
8.258,20,0,20,-5.267,26.07,19.17
8.308,20,0,20,-2.023,27.76,19.16
8.358,20,0,20,1.4,29.05,19.15
8.408,20,0,20,4.955,29.92,19.13
8.458,20,0,20,8.587,30.36,19.12
8.509,20,0,20,12.25,30.35,19.11
8.559,20,0,20,15.88,29.91,19.1
8.609,20,0,20,19.43,29.04,19.09
8.659,20,0,20,22.85,27.74,19.08
8.709,20,0,20,26.09,26.04,19.07
8.759,20,0,20,29.11,23.96,19.06
8.809,20,0,20,31.85,21.54,19.05
8.859,20,0,20,34.28,18.81,19.04
8.909,20,0,20,36.36,15.8,19.03
8.959,20,0,20,38.07,12.56,19.02
9.009,20,0,20,39.38,9.145,19.01
9.059,20,0,20,40.26,5.595,19
9.109,20,0,20,40.72,1.964,18.99
