MC-cycles <epsilon> <|m|>
1 -0.06 1.14
2 -0.05 1.135
3 -0.0466667 1.13
4 -0.045 1.13
5 -0.044 1.125
6 -0.0433333 1.125
7 -0.0428571 1.12
8 -0.0425 1.115
9 -0.04 1.12
10 -0.038 1.125
11 -0.0363636 1.12
12 -0.0341667 1.115
13 -0.0323077 1.115
14 -0.0307143 1.12
15 -0.0293333 1.125
16 -0.028125 1.13
17 -0.0264706 1.125
18 -0.025 1.125
19 -0.0247368 1.13
20 -0.0235 1.125
21 -0.022381 1.12
22 -0.0213636 1.125
23 -0.0213043 1.13
24 -0.0208333 1.125
25 -0.0196 1.13
26 -0.0184615 1.125
27 -0.017037 1.13
28 -0.015 1.125
29 -0.0131034 1.13
30 -0.0116667 1.125
31 -0.0103226 1.13
32 -0.0090625 1.13
33 -0.00848485 1.135
34 -0.00764706 1.14
35 -0.00657143 1.135
36 -0.00555556 1.135
37 -0.00459459 1.135
38 -0.00342105 1.14
39 -0.00230769 1.14
40 -0.00125 1.135
41 -0.000243902 1.14
42 0.000714286 1.135
43 0.00209302 1.13
44 0.00340909 1.125
45 0.00488889 1.13
46 0.00630435 1.125
47 0.00765957 1.13
48 0.00895833 1.13
49 0.0102041 1.13
50 0.0114 1.125
51 0.0123529 1.13
52 0.0132692 1.125
53 0.0137736 1.12
54 0.0142593 1.115
55 0.0145455 1.12
56 0.0148214 1.115
57 0.0150877 1.12
58 0.0153448 1.12
59 0.0157627 1.115
60 0.016 1.12
61 0.0159016 1.125
62 0.0158065 1.125
63 0.0157143 1.12
64 0.0154688 1.115
65 0.0152308 1.115
66 0.0151515 1.12
67 0.0147761 1.115
68 0.0144118 1.115
69 0.013913 1.12
70 0.0135714 1.125
71 0.0133803 1.13
72 0.0131944 1.135
73 0.0131507 1.13
74 0.0132432 1.125
75 0.0136 1.13
76 0.0139474 1.135
77 0.0142857 1.135
78 0.0144872 1.13
79 0.014557 1.125
80 0.01475 1.12
81 0.0149383 1.115
82 0.014878 1.11
83 0.0148193 1.105
84 0.014881 1.11
85 0.0149412 1.105
86 0.0151163 1.11
87 0.0152874 1.115
88 0.0154545 1.115
89 0.015618 1.11
90 0.0157778 1.11
91 0.016044 1.115
92 0.0163043 1.12
93 0.0165591 1.125
94 0.0167021 1.12
95 0.0169474 1.115
96 0.0171875 1.11
97 0.0174227 1.11
98 0.0177551 1.115
99 0.0180808 1.115
100 0.0184 1.115
101 0.0187129 1.12
102 0.0189216 1.125
103 0.0193204 1.12
104 0.0197115 1.12
105 0.02 1.115
106 0.020283 1.12
107 0.0205607 1.12
108 0.0208333 1.12
109 0.0211009 1.125
110 0.0212727 1.13
111 0.0214414 1.13
112 0.0215179 1.125
113 0.0216814 1.12
114 0.0218421 1.115
115 0.022087 1.11
116 0.0222414 1.105
117 0.0223932 1.1
118 0.0223729 1.095
119 0.0223529 1.095
120 0.0225 1.1
121 0.0227273 1.095
122 0.0229508 1.095
123 0.0231707 1.09
124 0.0233871 1.085
125 0.0236 1.085
126 0.0238889 1.08
127 0.0240945 1.085
128 0.024375 1.08
129 0.0246512 1.075
130 0.0248462 1.08
131 0.0251908 1.075
132 0.0254545 1.08
133 0.0258647 1.075
134 0.0264179 1.07
135 0.0268889 1.065
136 0.0273529 1.065
137 0.0278102 1.06
138 0.0281884 1.055
139 0.0284892 1.06
140 0.0287857 1.055
141 0.0291489 1.06
142 0.0293662 1.065
143 0.0295804 1.06
144 0.0297222 1.055
145 0.0298621 1.05
146 0.0299315 1.055
147 0.03 1.055
148 0.0300676 1.05
149 0.0302013 1.045
150 0.0304667 1.04
151 0.0307285 1.035
152 0.0310526 1.04
153 0.0313725 1.04
154 0.0316883 1.035
155 0.031871 1.03
156 0.0320513 1.03
157 0.0323567 1.025
158 0.0325949 1.02
159 0.0328931 1.025
160 0.0331875 1.02
161 0.0334783 1.015
162 0.0337037 1.01
163 0.033865 1.015
164 0.0340854 1.02
165 0.0341818 1.015
166 0.0342771 1.02
167 0.0343713 1.02
168 0.0344643 1.015
169 0.0345562 1.015
170 0.0346471 1.02
171 0.0348538 1.025
172 0.0351744 1.03
173 0.0355491 1.025
174 0.0359195 1.03
175 0.0362286 1.035
176 0.0364773 1.04
177 0.0367232 1.045
178 0.0370787 1.04
179 0.037486 1.035
180 0.0378889 1.035
181 0.0382873 1.035
182 0.0386813 1.04
183 0.039071 1.045
184 0.0394022 1.04
185 0.0397297 1.04
186 0.0400538 1.04
187 0.0403743 1.035
188 0.0406383 1.04
189 0.0408995 1.04
190 0.0411579 1.045
191 0.041466 1.05
192 0.0417708 1.05
193 0.0421244 1.055
194 0.0424227 1.05
195 0.0426667 1.055
196 0.0429082 1.06
197 0.0431472 1.065
198 0.0434343 1.06
199 0.0437186 1.065
200 0.044 1.06
201 0.0442786 1.06
202 0.0445545 1.065
203 0.0447783 1.06
204 0.045 1.055
205 0.0452195 1.06
206 0.0454854 1.055
207 0.0457005 1.05
208 0.0459615 1.055
209 0.0462201 1.05
210 0.046381 1.055
211 0.0465403 1.05
212 0.0466981 1.045
213 0.0468545 1.05
214 0.0470093 1.05
215 0.0471163 1.055
216 0.0472685 1.05
217 0.0474654 1.045
218 0.0476606 1.04
219 0.0478082 1.035
220 0.0479545 1.035
221 0.0480995 1.035
222 0.0482432 1.03
223 0.0484305 1.035
224 0.0486161 1.03
225 0.0488 1.035
226 0.0489823 1.03
227 0.049163 1.03
228 0.0493421 1.025
229 0.0495197 1.03
230 0.0497826 1.025
231 0.0500866 1.02
232 0.0503879 1.015
233 0.0506867 1.01
234 0.0510256 1.005
235 0.0513191 1
236 0.0516102 1
237 0.0519409 1.005
238 0.0523109 1
239 0.0527197 0.995
240 0.053125 0.995
241 0.053527 1
242 0.0538843 0.995
243 0.0542387 0.995
244 0.0545902 0.995
245 0.0549388 0.99
246 0.0552846 0.985
247 0.0556275 0.985
248 0.0559677 0.98
249 0.0563454 0.975
250 0.05672 0.97
251 0.0571315 0.965
252 0.0575397 0.97
253 0.0579842 0.965
254 0.0584252 0.97
255 0.0588627 0.97
256 0.0592969 0.975
257 0.0597276 0.975
258 0.060155 0.98
259 0.0605792 0.98
260 0.061 0.975
261 0.0614176 0.97
262 0.0618321 0.975
263 0.0622433 0.97
264 0.0626894 0.975
265 0.0631321 0.97
266 0.063609 0.975
267 0.0640824 0.975
268 0.0645522 0.975
269 0.0650929 0.98
270 0.0656667 0.985
271 0.0661993 0.98
272 0.0667279 0.98
273 0.0672527 0.985
274 0.0677372 0.98
275 0.0682545 0.975
276 0.0687681 0.97
277 0.069278 0.97
278 0.0697482 0.975
279 0.0702151 0.97
280 0.0706786 0.975
281 0.0710676 0.97
282 0.0714539 0.97
283 0.0718375 0.975
284 0.0721831 0.97
285 0.0725263 0.975
286 0.0729021 0.98
287 0.0732404 0.985
288 0.0735417 0.98
289 0.0738754 0.985
290 0.0742069 0.98
291 0.0745361 0.985
292 0.074863 0.985
293 0.0751877 0.99
294 0.0755102 0.995
295 0.0757966 0.99
296 0.0760811 0.995
297 0.0763973 1
298 0.0767785 0.995
299 0.0771572 0.99
300 0.0775333 0.995
301 0.077907 0.995
302 0.078245 0.99
303 0.0785149 0.985
304 0.0788158 0.99
305 0.0791148 0.99
306 0.0793791 0.995
307 0.0796417 0.99
308 0.0799026 0.99
309 0.0801618 0.995
310 0.0804516 0.99
311 0.0807395 0.985
312 0.0810256 0.985
313 0.0813099 0.99
314 0.0815924 0.985
315 0.081873 0.985
316 0.0821519 0.985
317 0.082429 0.99
318 0.0827044 0.985
319 0.0829467 0.99
320 0.0831875 0.985
321 0.0834268 0.98
322 0.0836646 0.975
323 0.08387 0.97
324 0.0840741 0.97
325 0.0842769 0.975
326 0.0844172 0.98
327 0.0845566 0.985
328 0.0846951 0.99
329 0.0848328 0.985
330 0.085 0.98
331 0.0851964 0.985
332 0.0853916 0.99
333 0.0855856 0.99
334 0.0857784 0.99
335 0.0859701 0.99
336 0.0861607 0.985
337 0.0863205 0.98
338 0.0864793 0.985
339 0.0866667 0.99
340 0.0868529 0.985
341 0.0870381 0.99
342 0.0872222 0.985
343 0.0873761 0.99
344 0.0875291 0.985
345 0.0876812 0.985
346 0.0878035 0.98
347 0.0879251 0.975
348 0.0880747 0.97
349 0.0882235 0.97
350 0.0883714 0.97
351 0.08849 0.975
352 0.088608 0.97
353 0.0887252 0.97
354 0.0888418 0.965
355 0.0889577 0.97
356 0.0890169 0.965
357 0.0890756 0.96
358 0.089162 0.965
359 0.0892479 0.97
360 0.0893056 0.975
361 0.0893629 0.97
362 0.0894199 0.975
363 0.0894215 0.97
364 0.0894231 0.975
365 0.0894521 0.98
366 0.0895082 0.975
367 0.0895913 0.98
368 0.0896739 0.975
369 0.0897561 0.97
370 0.0898108 0.965
371 0.0898652 0.96
372 0.0899462 0.955
373 0.0900268 0.96
374 0.090107 0.965
375 0.09016 0.97
376 0.0902128 0.975
377 0.0902918 0.98
378 0.0903968 0.975
379 0.0905013 0.97
380 0.0906053 0.965
381 0.0907349 0.96
382 0.0908639 0.96
383 0.0910444 0.955
384 0.091224 0.95
385 0.0913506 0.945
386 0.0914767 0.95
