MC-cycles <epsilon> <|m|>
1 -1.98 1.995
2 -1.97 1.99
3 -1.96333 1.985
4 -1.955 1.98
5 -1.946 1.975
6 -1.93667 1.97
7 -1.92714 1.965
8 -1.9175 1.96
9 -1.90778 1.955
10 -1.898 1.95
11 -1.88818 1.945
12 -1.87833 1.94
13 -1.86846 1.935
14 -1.85857 1.93
15 -1.84867 1.925
16 -1.83875 1.92
17 -1.82882 1.915
18 -1.81889 1.91
19 -1.80895 1.905
20 -1.799 1.9
21 -1.79 1.9
22 -1.78136 1.895
23 -1.77261 1.89
24 -1.76375 1.885
25 -1.7548 1.88
26 -1.74577 1.875
27 -1.73667 1.87
28 -1.7275 1.865
29 -1.71828 1.86
30 -1.709 1.855
31 -1.7 1.85
32 -1.69094 1.845
33 -1.68182 1.84
34 -1.67265 1.835
35 -1.66371 1.83
36 -1.65472 1.825
37 -1.64568 1.82
38 -1.63658 1.815
39 -1.62846 1.82
40 -1.62025 1.815
41 -1.61195 1.81
42 -1.60381 1.805
43 -1.59581 1.8
44 -1.58773 1.795
45 -1.57956 1.79
46 -1.57152 1.785
47 -1.5634 1.78
48 -1.55521 1.775
49 -1.54694 1.77
50 -1.5388 1.765
51 -1.53059 1.76
52 -1.52269 1.76
53 -1.51528 1.765
54 -1.50852 1.77
55 -1.502 1.765
56 -1.49536 1.76
57 -1.4886 1.755
58 -1.48172 1.75
59 -1.47475 1.745
60 -1.46783 1.74
61 -1.46115 1.74
62 -1.45435 1.735
63 -1.44746 1.73
64 -1.44063 1.725
65 -1.434 1.72
66 -1.42773 1.725
67 -1.42149 1.72
68 -1.41515 1.715
69 -1.4087 1.71
70 -1.40229 1.705
71 -1.39577 1.7
72 -1.38931 1.695
73 -1.38288 1.69
74 -1.37649 1.685
75 -1.37 1.68
76 -1.36395 1.685
77 -1.35779 1.68
78 -1.35154 1.675
79 -1.34519 1.67
80 -1.33875 1.665
81 -1.33235 1.66
82 -1.32598 1.655
83 -1.31964 1.65
84 -1.31321 1.645
85 -1.30694 1.645
86 -1.3007 1.64
87 -1.29471 1.645
88 -1.28864 1.64
89 -1.2827 1.635
90 -1.27667 1.63
91 -1.27088 1.625
92 -1.26522 1.63
93 -1.25968 1.63
94 -1.25426 1.625
95 -1.24884 1.62
96 -1.24354 1.615
97 -1.23825 1.61
98 -1.23286 1.605
99 -1.22747 1.6
100 -1.2221 1.595
101 -1.21663 1.59
102 -1.21127 1.585
103 -1.20592 1.58
104 -1.20058 1.575
105 -1.19552 1.58
106 -1.19047 1.575
107 -1.18533 1.57
108 -1.18009 1.565
109 -1.17477 1.56
110 -1.16936 1.555
111 -1.16405 1.56
112 -1.15875 1.555
113 -1.15354 1.55
114 -1.14833 1.545
115 -1.14322 1.545
116 -1.1381 1.54
117 -1.13291 1.535
118 -1.12788 1.54
119 -1.12277 1.535
120 -1.11758 1.53
121 -1.11248 1.525
122 -1.10746 1.525
123 -1.10244 1.52
124 -1.09734 1.515
125 -1.0924 1.52
126 -1.08754 1.52
127 -1.08268 1.515
128 -1.07781 1.51
129 -1.07287 1.505
130 -1.06785 1.5
131 -1.06282 1.495
132 -1.05788 1.49
133 -1.05293 1.485
134 -1.04799 1.48
135 -1.04304 1.475
136 -1.03816 1.47
137 -1.03343 1.465
138 -1.02862 1.46
139 -1.02381 1.455
140 -1.01907 1.455
141 -1.01426 1.45
142 -1.00951 1.45
143 -1.00483 1.45
144 -1.00007 1.445
145 -0.99531 1.44
146 -0.990616 1.44
147 -0.985918 1.445
148 -0.981149 1.44
149 -0.976443 1.445
150 -0.9718 1.445
151 -0.967219 1.445
152 -0.962566 1.44
153 -0.957908 1.435
154 -0.953377 1.44
155 -0.948903 1.445
156 -0.944423 1.45
157 -0.940064 1.455
158 -0.935886 1.46
159 -0.931635 1.455
160 -0.927312 1.45
161 -0.923043 1.445
162 -0.918951 1.45
163 -0.914969 1.455
164 -0.910915 1.45
165 -0.906848 1.445
166 -0.902892 1.45
167 -0.898982 1.445
168 -0.895119 1.44
169 -0.891302 1.44
170 -0.887471 1.435
171 -0.883684 1.435
172 -0.879826 1.43
173 -0.875896 1.425
174 -0.871954 1.42
175 -0.868 1.415
176 -0.864034 1.41
177 -0.860226 1.405
178 -0.856461 1.4
179 -0.852793 1.405
180 -0.849111 1.4
181 -0.84547 1.395
182 -0.841868 1.395
183 -0.838306 1.39
184 -0.834783 1.39
185 -0.831297 1.39
186 -0.827796 1.385
187 -0.824278 1.38
188 -0.820691 1.375
189 -0.817143 1.37
190 -0.813632 1.365
191 -0.810105 1.36
192 -0.806615 1.355
193 -0.803161 1.355
194 -0.799742 1.35
195 -0.796359 1.355
196 -0.79301 1.36
197 -0.789645 1.365
198 -0.786212 1.36
199 -0.782915 1.365
200 -0.7797 1.37
201 -0.776617 1.375
202 -0.773564 1.375
203 -0.770542 1.37
204 -0.767549 1.375
