MC-cycles <epsilon> <|m|>
1 0.01 0.975
2 0.015 0.97
3 0.0166667 0.965
4 0.0125 0.96
5 0.012 0.965
6 0.0116667 0.96
7 0.0114286 0.955
8 0.01375 0.96
9 0.0155556 0.965
10 0.016 0.96
11 0.0163636 0.96
12 0.0166667 0.955
13 0.0169231 0.95
14 0.0178571 0.955
15 0.018 0.95
16 0.018125 0.945
17 0.0182353 0.945
18 0.0183333 0.94
19 0.0184211 0.945
20 0.019 0.94
21 0.02 0.945
22 0.0213636 0.95
23 0.0221739 0.955
24 0.0233333 0.95
25 0.024 0.955
26 0.0246154 0.96
27 0.0255556 0.955
28 0.0264286 0.96
29 0.0268966 0.955
30 0.0273333 0.955
31 0.0280645 0.96
32 0.0284375 0.965
33 0.0287879 0.96
34 0.0291176 0.965
35 0.0294286 0.965
36 0.0297222 0.97
37 0.0302703 0.965
38 0.0307895 0.965
39 0.0312821 0.96
40 0.032 0.965
41 0.0321951 0.96
42 0.0328571 0.955
43 0.0334884 0.955
44 0.0340909 0.955
45 0.0346667 0.955
46 0.0352174 0.96
47 0.0355319 0.955
48 0.0360417 0.95
49 0.0367347 0.955
50 0.0376 0.95
51 0.0386275 0.955
52 0.0394231 0.95
53 0.04 0.945
54 0.0405556 0.95
55 0.0410909 0.95
56 0.0417857 0.945
57 0.0424561 0.94
58 0.0431034 0.94
59 0.0437288 0.94
60 0.0443333 0.94
61 0.044918 0.945
62 0.0454839 0.945
63 0.0460317 0.94
64 0.0464063 0.935
65 0.0466154 0.93
66 0.0465152 0.935
67 0.0464179 0.935
68 0.0463235 0.94
69 0.0463768 0.935
70 0.0462857 0.93
71 0.0461972 0.93
72 0.04625 0.925
73 0.0463014 0.92
74 0.0463514 0.915
75 0.0461333 0.91
76 0.0459211 0.91
77 0.0458442 0.905
78 0.0460256 0.91
79 0.0463291 0.915
80 0.04675 0.92
81 0.0471605 0.92
82 0.0476829 0.925
83 0.0483133 0.93
84 0.0489286 0.935
85 0.0495294 0.93
86 0.05 0.925
87 0.0503448 0.92
88 0.0505682 0.925
89 0.0507865 0.93
90 0.0508889 0.935
91 0.0508791 0.93
92 0.051087 0.935
93 0.0511828 0.93
94 0.051383 0.935
95 0.0514737 0.93
96 0.0515625 0.93
97 0.0517526 0.925
98 0.0519388 0.92
99 0.0521212 0.92
100 0.0524 0.915
101 0.0525743 0.92
102 0.0527451 0.925
103 0.0528155 0.92
104 0.0530769 0.925
105 0.0533333 0.925
106 0.0534906 0.93
107 0.0536449 0.935
108 0.0537963 0.93
109 0.053945 0.935
110 0.0540909 0.94
111 0.0543243 0.945
112 0.0545536 0.945
113 0.0546903 0.94
114 0.0548246 0.935
115 0.0549565 0.93
116 0.0550862 0.93
117 0.0552137 0.925
118 0.055339 0.925
119 0.0554622 0.93
120 0.05575 0.925
121 0.0561983 0.92
122 0.0567213 0.925
123 0.0573171 0.93
124 0.0579032 0.935
125 0.05856 0.93
126 0.0592857 0.935
127 0.06 0.94
128 0.0607813 0.935
129 0.0616279 0.93
130 0.0624615 0.93
